subject,y,x1,x2,x3,x4,x5,x6,x7,x8,lnx2,lnx3,lnx4,lnx5,lnx6,lnx7,lnx8,neginvx2,neginvx3,neginvx4,neginvx5,neginvx6,neginvx7,neginvx8
assertj-core,0.989247343,0.03,0.841250606,4126,3471,5737,14128,139.0451,2813.649,-0.172865678,8.325063694,8.152198016,8.654691705,9.555913923,4.934798341,7.942237496,-1.188706425,-0.000242365,-0.000288101,-0.000174307,-7.08E-05,-0.007191911,-0.00035541
common-collection,0.988042535,0.03,0.36469316,7398,2698,13677,23713,184.8743,6864.0085,-1.008698936,8.908964972,7.900266037,9.523470869,10.0737787,5.219676135,8.83404688,-2.742031137,-0.000135172,-0.000370645,-7.31E-05,-4.22E-05,-0.005409081,-0.000145687
common-io,0.988900736,0.03,0.765100671,3129,2394,965,8839,30.8405,486.091,-0.267747858,8.048468744,7.780720886,6.872128101,9.086929027,3.428828761,6.186395849,-1.307017544,-0.000319591,-0.000417711,-0.001036269,-0.000113135,-0.032424896,-0.002057228
commons-compress,0.993502851,0.03,0.634262845,7746,4913,491,17888,6.3388,248.052,-0.455291828,8.95493186,8.499640032,6.196444128,9.791885376,1.846689476,5.513638402,-1.576633422,-0.000129099,-0.000203542,-0.00203666,-5.59E-05,-0.157758566,-0.004031413
JFreeChart,0.997346684,0.03,0.323307195,34942,11297,2256,98334,6.4564,1116.589,-1.12915234,10.46144482,9.332292483,7.721348613,11.49612513,1.865071887,7.018033781,-3.093033547,-2.86E-05,-8.85E-05,-0.000443262,-1.02E-05,-0.154885075,-0.000895585
jgrapht,0.986761708,0.03,0.561187545,2762,1550,152,12511,5.5033,77.396,-0.577700125,7.923710334,7.34601021,5.023880521,9.434363536,1.705347912,4.3489351,-1.781935485,-0.000362056,-0.000645161,-0.006578947,-7.99E-05,-0.181709156,-0.012920564
PMD-core,0.9855649,0.03,0.308760378,20958,6471,458,20958,2.1853,230.7745,-1.175189779,9.950275714,8.775085935,6.126869184,9.950275714,0.781753119,5.441441043,-3.238757533,-4.77E-05,-0.000154536,-0.002183406,-4.77E-05,-0.457603075,-0.004333234
xstream,0.986518149,0.03,0.568705927,5247,2984,1618,19111,30.8367,806.1715,-0.564391803,8.565411764,8.001019961,7.388946098,9.858019364,3.428705539,6.692296499,-1.758378017,-0.000190585,-0.000335121,-0.000618047,-5.23E-05,-0.032428892,-0.001240431
patricia-trie,0.960555015,0.04,0.441109,3031,1337,17,2782,0.5609,8.8035,-0.818463269,8.016647877,7.198183577,2.833213344,7.930925372,-0.578212642,2.17514937,-2.267013369,-0.000329924,-0.000747943,-0.058823529,-0.000359454,-1.782848993,-0.113591185
cucumber-reporting,0.957009166,0.04,0.653787,2614,1709,124,2245,4.7437,61.825,-0.424973669,7.868636894,7.443663683,4.820281566,7.7164608,1.556817422,4.124307813,-1.529550144,-0.000382555,-0.000585138,-0.008064516,-0.000445434,-0.210805911,-0.016174687
efflux,0.959982257,0.04,0.419014,2840,1190,41,3529,1.4437,21.2505,-0.869850947,7.951559331,7.081708586,3.713572067,8.168769824,0.367209263,3.056380425,-2.386555103,-0.000352113,-0.000840336,-0.024390244,-0.000283366,-0.692664681,-0.047057716
jackson-module-afterburner,0.962201641,0.04,0.545914,3365,1837,118,3343,3.5067,59.6925,-0.605293825,8.121183242,7.515889085,4.770684624,8.114623886,1.254675424,4.089206384,-1.831790355,-0.000297177,-0.000544366,-0.008474576,-0.000299133,-0.285168392,-0.016752523
greplin-lucene-utils,0.921887247,0.04,0.151653,2631,399,14,3476,0.5321,7.4905,-1.886160263,7.875119281,5.988961417,2.63905733,8.153637486,-0.630923837,2.013635551,-6.594000778,-0.000380084,-0.002506266,-0.071428571,-0.000287687,-1.879345988,-0.133502436
greplin-bloom-filter,0.824731536,0.04,0.578313,830,480,16,674,1.9277,8.4705,-0.547640034,6.721425701,6.173786104,2.772588722,6.513230111,0.656327582,2.136589539,-1.729167423,-0.001204819,-0.002083333,-0.0625,-0.00148368,-0.518752918,-0.118056785
aho-corasick,0.878517045,0.04,0.858621,580,498,31,499,5.3448,16.2015,-0.152427665,6.363028104,6.210600077,3.433987204,6.212606096,1.676124126,2.785103831,-1.164658214,-0.001724138,-0.002008032,-0.032258065,-0.002004008,-0.18709774,-0.06172268
cors-filter,0.869165033,0.04,0.829412,510,423,72,588,14.1176,36.8105,-0.187038263,6.234410726,6.047372179,4.276666119,6.376726948,2.647422246,3.605783131,-1.205673417,-0.001960784,-0.002364066,-0.013888889,-0.00170068,-0.070833569,-0.027166162
flip-tables,0.783596564,0.04,0.875,336,294,21,170,6.25,11.1115,-0.133531393,5.81711116,5.683579767,3.044522438,5.135798437,1.832581464,2.407980608,-1.142857143,-0.00297619,-0.003401361,-0.047619048,-0.005882353,-0.16,-0.08999685
redline,0.975983515,0.04,0.340198,4759,1619,41,3809,0.8615,21.043,-1.078227478,8.467792841,7.389563954,3.713572067,8.245121966,-0.149080223,3.046567963,-2.939464665,-0.000210128,-0.000617665,-0.024390244,-0.000262536,-1.160766106,-0.047521741
exp4j,0.905726107,0.04,0.870761,1563,1361,284,1086,18.1702,140.4,-0.138387737,7.35436233,7.215975003,5.648974238,6.9902565,2.89978289,4.944495492,-1.148420749,-0.000639795,-0.000734754,-0.003521127,-0.00092081,-0.055035167,-0.007122507
Confucius,0.888538179,0.04,0.927419,620,575,84,503,13.5484,41.8415,-0.07534982,6.429719478,6.354370041,4.430816799,6.22059017,2.606268459,3.73388867,-1.078261282,-0.001612903,-0.00173913,-0.011904762,-0.001988072,-0.073809454,-0.023899717
geojson-jackson,0.832331778,0.04,0.419805,717,301,44,654,6.1367,22.8205,-0.867964961,6.575075841,5.707110265,3.784189634,6.483107351,1.814287138,3.127659255,-2.382058337,-0.0013947,-0.003322259,-0.022727273,-0.001529052,-0.162954031,-0.043820249
visualee,0.945691997,0.04,0.468421,1900,890,76,1645,4,38.5875,-0.758387815,7.549609165,6.791221463,4.33073334,7.405495663,1.386294361,3.65292839,-2.134831701,-0.000526316,-0.001123596,-0.013157895,-0.000607903,-0.25,-0.025915128
GenericTree,0.856028298,0.04,0.811321,265,215,49,234,18.4906,25.0935,-0.209091496,5.579729826,5.370638028,3.891820298,5.455321115,2.917262495,3.222608848,-1.232557767,-0.003773585,-0.004651163,-0.020408163,-0.004273504,-0.054081533,-0.039850957
jackson-datatype-guava,0.940889029,0.04,0.51682,1635,845,73,2217,4.4648,36.428,-0.660060628,7.399398083,6.739336627,4.290459441,7.70391021,1.49622442,3.59533771,-1.93490964,-0.000611621,-0.001183432,-0.01369863,-0.00045106,-0.223974198,-0.027451411
evernote-sdk-java,0.862775052,0.04,0.002102,74208,156,14,2370,0.0189,7.518,-6.164866007,11.21462724,5.049856007,2.63905733,7.770645234,-3.968593357,2.017300145,-475.737393,-1.35E-05,-0.006410256,-0.071428571,-0.000421941,-52.91005291,-0.133014099
urlbuilder,0.968527269,0.04,0.786653,989,778,48,690,4.8534,24.945,-0.239968043,6.896694332,6.656726524,3.871201011,6.536691598,1.57967949,3.216673401,-1.271208525,-0.001011122,-0.001285347,-0.020833333,-0.001449275,-0.206041126,-0.040088194
skype-java-api,0.945793871,0.04,0.134994,6504,878,43,6356,0.6611,21.5735,-2.002524946,8.780172651,6.777646594,3.761200116,8.757154528,-0.413850165,3.07146571,-7.40773664,-0.000153752,-0.001138952,-0.023255814,-0.000157332,-1.512630464,-0.046353165
HTTP-Proxy-Servlet,0.829798184,0.04,0.620579,622,386,26,493,4.1801,13.583,-0.477102366,6.432940093,5.955837369,3.258096538,6.200509174,1.43033517,2.608819011,-1.611398388,-0.001607717,-0.002590674,-0.038461538,-0.002028398,-0.239228727,-0.073621439
PauselessHashMap,0.910348833,0.04,0.512845,1051,539,1550,958,147.4786,805.74,-0.667781624,6.957497371,6.289715571,7.34601021,6.864847778,4.993683081,6.69176111,-1.949906892,-0.000951475,-0.001855288,-0.000645161,-0.001043841,-0.006780645,-0.001241095
ews-java-api,0.991834496,0.04,0.058379,31501,1839,99,45313,0.3143,49.9365,-2.840799043,10.35777457,7.516977225,4.59511985,10.72134925,-1.157407335,3.910752198,-17.12944723,-3.17E-05,-0.000543774,-0.01010101,-2.21E-05,-3.18167356,-0.020025432
IClojure,0.711872982,0.04,0.085145,1104,94,12,962,1.087,6.32,-2.463399594,7.006695227,4.543294782,2.48490665,6.869014451,0.083421608,1.843719208,-11.74467086,-0.000905797,-0.010638298,-0.083333333,-0.001039501,-0.919963201,-0.158227848
RestFixture,0.971373032,0.04,0.682206,3282,2239,268,3106,8.1658,133.5285,-0.382423614,8.096208272,7.713784617,5.590986981,8.041091004,2.099954701,4.894314938,-1.465832901,-0.000304692,-0.000446628,-0.003731343,-0.000321958,-0.122461976,-0.007489038
jInstagram,0.825511112,0.04,0.07699,2299,177,74,3476,3.2188,38.6185,-2.564079736,7.740229525,5.176149733,4.304065093,8.153637486,1.169008619,3.653731436,-12.98869983,-0.000434972,-0.005649718,-0.013513514,-0.000287687,-0.310674786,-0.025894325
linq4j,0.986868484,0.04,0.375483,13191,4953,221,14307,1.6754,109.155,-0.979542082,9.487290058,8.507748733,5.398162702,9.568504207,0.516051943,4.69276889,-2.663236418,-7.58E-05,-0.000201898,-0.004524887,-6.99E-05,-0.596872389,-0.009161284
javapoet,0.970633233,0.04,0.771391,3775,2912,152,2454,4.0265,76.49,-0.2595599,8.236155662,7.976595409,5.023880521,7.805474625,1.392897512,4.337160013,-1.296359434,-0.000264901,-0.000343407,-0.006578947,-0.000407498,-0.24835465,-0.013073604
statsd-jvm-profiler,0.817236298,0.04,0.370258,659,244,33,691,5.0076,17.196,-0.993555219,6.490723535,5.497168225,3.496507561,6.538139824,1.610956758,2.844676799,-2.700819429,-0.001517451,-0.004098361,-0.03030303,-0.001447178,-0.199696461,-0.058153059
scribe-java,0.913400247,0.04,0.351901,1867,657,99,2778,5.3026,50.7235,-1.044405393,7.532088144,6.487684018,4.59511985,7.929486523,1.668197266,3.926389314,-2.841708321,-0.000535619,-0.00152207,-0.01010101,-0.000359971,-0.188586731,-0.019714728
expiringmap,0.971860721,0.04,0.560819,781,438,26,802,3.3291,13.6545,-0.578357064,6.66057515,6.08221891,3.258096538,6.687108608,1.202701997,2.614069138,-1.783106492,-0.00128041,-0.002283105,-0.038461538,-0.001246883,-0.300381484,-0.07323593
multi-thread-context,1,0.04,0.034884,258,9,31,580,12.0155,16.153,-3.355727008,5.552959585,2.197224577,3.433987204,6.363028104,2.486197483,2.782105791,-28.66643734,-0.003875969,-0.111111111,-0.032258065,-0.001724138,-0.083225833,-0.061908005
webbit,0.952592239,0.04,0.330933,3750,1241,131,4914,3.4933,65.57,-1.105839341,8.229511119,7.123672785,4.875197323,8.499843553,1.250846848,4.183118274,-3.021759692,-0.000266667,-0.000805802,-0.007633588,-0.0002035,-0.286262273,-0.015250877
jenkins-ansicolor-plugin,0.717152884,0.04,0.413858,534,221,26,500,4.8689,13.5735,-0.882232359,6.280395839,5.398162702,3.258096538,6.214608098,1.582868039,2.608119362,-2.416287712,-0.001872659,-0.004524887,-0.038461538,-0.002,-0.2053852,-0.073672966
raml-java-parser,0.978476921,0.04,0.708968,6044,4285,190,8217,3.1436,96.696,-0.343944887,8.706821323,8.362875831,5.247024072,9.013960458,1.14536864,4.571572037,-1.410500897,-0.000165453,-0.000233372,-0.005263158,-0.000121699,-0.318106629,-0.010341689
geohash-java,0.964288034,0.04,0.685119,1680,1151,56,920,3.3333,29,-0.378162733,7.426549072,7.048386409,4.025351691,6.82437367,1.203962804,3.36729583,-1.459600449,-0.000595238,-0.00086881,-0.017857143,-0.001086957,-0.300003,-0.034482759
compress,0.980277463,0.04,0.474887,5734,2723,43,4387,0.7499,22.0225,-0.744678398,8.654168646,7.909489493,3.761200116,8.386400901,-0.287815415,3.092064658,-2.105764108,-0.000174398,-0.000367242,-0.023255814,-0.000227946,-1.333511135,-0.045408105
spatial4j,0.984902902,0.04,0.498435,7666,3821,252,5243,3.2872,124.4185,-0.696282089,8.944550246,8.248267447,5.529429088,8.564649133,1.190036139,4.823650883,-2.006279655,-0.000130446,-0.000261712,-0.003968254,-0.00019073,-0.30421027,-0.00803739
glacieruploader,0.853850157,0.04,0.305825,824,252,22,987,2.6699,11.26,-1.184742236,6.71417053,5.529429088,3.091042453,6.894670039,0.982041019,2.421256623,-3.269843865,-0.001213592,-0.003968254,-0.045454545,-0.001013171,-0.374545863,-0.088809947
zt-exec,0.835495034,0.04,0.315512,1328,419,71,1670,5.3464,35.8395,-1.153558563,7.19142933,6.03787092,4.262679877,7.420578905,1.676423437,3.579050637,-3.169451558,-0.000753012,-0.002386635,-0.014084507,-0.000598802,-0.187041748,-0.027902175
rome,0.985330376,0.04,0.456866,10734,4904,475,11704,4.4252,235.5055,-0.783365148,9.281171553,8.497806478,6.163314804,9.367685943,1.487315475,5.461734268,-2.188825608,-9.32E-05,-0.000203915,-0.002105263,-8.54E-05,-0.225978487,-0.004246185
webprotege,0.991151055,0.04,0.091384,61455,5616,1659,77573,2.6995,827.0335,-2.392684871,11.02606048,8.633374946,7.41397029,11.25897471,0.993066571,6.717845202,-10.94283463,-1.63E-05,-0.000178063,-0.000602773,-1.29E-05,-0.37043897,-0.001209141
xsoup,0.943403574,0.04,0.529895,2191,1161,27,2031,1.2323,14.0465,-0.635076405,7.69211334,7.057036982,3.295836866,7.616283562,0.208882342,2.642373254,-1.887166325,-0.000456413,-0.000861326,-0.037037037,-0.000492368,-0.811490708,-0.071192112
protoparser,0.981354991,0.04,0.720659,4550,3279,166,2115,3.6484,82.6315,-0.327589208,8.422882512,8.095293777,5.111987788,7.656810091,1.294288715,4.414390964,-1.387618832,-0.00021978,-0.000304971,-0.006024096,-0.000472813,-0.274092753,-0.012101922
jitescript,0.731778539,0.04,0.219973,1482,326,14,1397,0.9447,7.4545,-1.514250467,7.301147806,5.786897381,2.63905733,7.242082359,-0.056887862,2.008817877,-4.546012465,-0.000674764,-0.003067485,-0.071428571,-0.00071582,-1.058537102,-0.134147159
gelfj,0.856325901,0.04,0.34856,1007,351,28,1120,2.7805,14.3875,-1.053944897,6.914730893,5.860786223,3.33220451,7.021083964,1.022630768,2.666359774,-2.868946523,-0.000993049,-0.002849003,-0.035714286,-0.000892857,-0.359647545,-0.069504778
parsii,0.930764482,0.04,0.509169,2563,1305,16,1713,0.6243,8.4745,-0.674975294,7.848933726,7.17395832,2.772588722,7.446001498,-0.471124257,2.137061654,-1.963984453,-0.000390168,-0.000766284,-0.0625,-0.000583771,-1.601794009,-0.118001062
low-gc-membuffers,0.965314727,0.04,0.512042,3654,1871,51,3183,1.3957,26.241,-0.669348626,8.203577737,7.534228326,3.931825633,8.065579427,0.333396082,3.267323073,-1.952964796,-0.000273673,-0.000534474,-0.019607843,-0.000314169,-0.716486351,-0.038108304
gdx-artemis,0.951467102,0.04,0.570581,1686,962,35,1951,2.0759,17.669,-0.561100139,7.430114139,6.869014451,3.555348061,7.576097341,0.730394795,2.871811692,-1.752599543,-0.00059312,-0.001039501,-0.028571429,-0.000512558,-0.481718773,-0.056596299
java-jwt,0.833174749,0.04,0.787281,456,359,54,422,11.8421,27.3345,-0.239170042,6.12249281,5.883322388,3.988984047,6.045005314,2.471660979,3.308149641,-1.270194505,-0.002192982,-0.002785515,-0.018518519,-0.002369668,-0.084444482,-0.036583804
hashids-java,0.758958289,0.04,0.631776,535,338,11,258,2.0561,5.9485,-0.459220378,6.282266747,5.823045895,2.397895273,5.552959585,0.720810985,1.783139087,-1.582839487,-0.001869159,-0.00295858,-0.090909091,-0.003875969,-0.486357667,-0.168109607
stateless4j,0.898848908,0.04,0.561782,696,391,61,864,8.7644,30.7215,-0.576641405,6.54534966,5.96870756,4.110873864,6.761572769,2.170698062,3.424962735,-1.780049913,-0.001436782,-0.002557545,-0.016393443,-0.001157407,-0.114097942,-0.032550494
jumblr,0.929998421,0.04,0.516047,1184,611,103,1494,8.6993,52.85,-0.661557432,7.076653815,6.415096959,4.634728988,7.309212366,2.163242563,3.967457712,-1.93780799,-0.000844595,-0.001636661,-0.009708738,-0.000669344,-0.114951778,-0.018921476
kryo-serializers,0.951166059,0.04,0.627602,1297,814,154,1564,11.8736,79.041,-0.465849071,7.167809184,6.701960366,5.036952602,7.355001921,2.474317448,4.369966705,-1.593366497,-0.00077101,-0.001228501,-0.006493506,-0.000639386,-0.084220455,-0.012651662
kafka-spout,0.881949223,0.04,0.820755,424,348,51,477,12.0283,26.249,-0.197530631,6.049733455,5.85220248,3.931825633,6.167516491,2.487262207,3.267627893,-1.218390384,-0.002358491,-0.002873563,-0.019607843,-0.002096436,-0.083137268,-0.038096689
computoser,0.96969217,0.04,0.049949,14615,730,12,11626,0.0821,6.6535,-2.996752794,9.589803678,6.593044534,2.48490665,9.360999248,-2.499817263,1.895143032,-20.02042083,-6.84E-05,-0.001369863,-0.083333333,-8.60E-05,-12.18026797,-0.150296836
jsemver,0.951897079,0.04,0.833623,1725,1438,202,1441,11.7101,99.5355,-0.181974017,7.452982329,7.271008538,5.308267697,7.273092596,2.460451717,4.600514364,-1.199583025,-0.00057971,-0.00069541,-0.004950495,-0.000693963,-0.085396367,-0.010046667
ashot,0.877181972,0.04,0.574189,1294,743,42,1247,3.2457,21.4565,-0.554796669,7.165493475,6.610696045,3.737669618,7.128495946,1.177331043,3.06602763,-1.741586829,-0.000772798,-0.001345895,-0.023809524,-0.000801925,-0.308099948,-0.046605924
LastCalc,0.9742736,0.04,0.391409,6635,2597,34,4594,0.5124,17.491,-0.93800223,8.800113947,7.862112212,3.526360525,8.432506383,-0.668649709,2.861686463,-2.554872269,-0.000150716,-0.00038506,-0.029411765,-0.000217675,-1.951600312,-0.05717226
JAdventure,0.942259983,0.04,0.144959,5098,739,35,3785,0.6865,17.322,-1.931304335,8.536603585,6.605297921,3.555348061,8.238801166,-0.376149054,2.85197737,-6.898502335,-0.000196155,-0.00135318,-0.028571429,-0.000264201,-1.456664239,-0.057730054
invokebinder,0.946720519,0.04,0.44779,1561,699,107,1623,6.8546,53.779,-0.803430906,7.353081921,6.549650742,4.672828834,7.392031568,1.92491996,3.984883056,-2.233189665,-0.000640615,-0.001430615,-0.009345794,-0.000616143,-0.145887433,-0.018594619
mimecraft,0.853647386,0.04,0.784512,297,233,14,394,4.7138,7.4675,-0.242693411,5.693732139,5.451038454,2.63905733,5.976350909,1.550494377,2.010560271,-1.274677761,-0.003367003,-0.004291845,-0.071428571,-0.002538071,-0.212143069,-0.133913626
pollexor,0.917219065,0.04,0.848929,887,753,58,592,6.5389,29.307,-0.163779724,6.787844982,6.624065228,4.060443011,6.383506635,1.877768956,3.377826395,-1.177954811,-0.001127396,-0.001328021,-0.017241379,-0.001689189,-0.152930921,-0.034121541
nar-maven-plugin,0.981629841,0.04,0.09281,27928,2592,465,23665,1.665,232.174,-2.377200886,10.23738505,7.860185057,6.142037406,10.07175244,0.509825123,5.447487091,-10.774701,-3.58E-05,-0.000385802,-0.002150538,-4.23E-05,-0.600600601,-0.004307114
xembly,0.959071796,0.04,0.38895,2715,1056,57,1202,2.0994,29.2175,-0.944304478,7.906547232,6.962243464,4.043051268,7.091742115,0.74165159,3.374767845,-2.571024553,-0.000368324,-0.00094697,-0.01754386,-0.000831947,-0.476326569,-0.034226063
dropwizard-guice,0.829663342,0.04,0.509934,302,154,15,381,4.9669,8.055,-0.673473973,5.710427017,5.036952602,2.708050201,5.942799375,1.602795903,2.086293017,-1.961038095,-0.003311258,-0.006493506,-0.066666667,-0.002624672,-0.201332823,-0.124146493
jackson-datatype-joda,0.942514214,0.04,0.556931,1212,675,73,1543,6.0231,37.7335,-0.585313925,7.100027167,6.514712691,4.290459441,7.341483852,1.795602077,3.630548294,-1.795554566,-0.000825083,-0.001481481,-0.01369863,-0.000648088,-0.166027461,-0.02650165
cassandra-reaper,0.962015317,0.04,0.245935,4981,1225,104,5444,2.0879,54.297,-1.402688006,8.513385953,7.110696123,4.644390899,8.602269364,0.736158776,3.994468977,-4.06611503,-0.000200763,-0.000816327,-0.009615385,-0.000183688,-0.478950141,-0.018417224
jmeter-maven-plugin,0.905656931,0.04,0.264614,2241,593,57,1297,2.5435,29.268,-1.329483119,7.714677474,6.385194399,4.043051268,7.167809184,0.933541085,3.376494769,-3.779089542,-0.000446229,-0.001686341,-0.01754386,-0.00077101,-0.393159033,-0.034167008
jPopulator,0.929384411,0.04,0.509338,1178,600,70,969,5.9423,35.1505,-0.674643436,7.071573364,6.396929655,4.248495242,6.876264612,1.782096264,3.559638843,-1.963332797,-0.000848896,-0.001666667,-0.014285714,-0.001031992,-0.168285007,-0.028449097
geocluster-facet,0.912956333,0.04,0.488449,606,296,15,553,2.4752,8.0265,-0.716520214,6.406879986,5.690359454,2.708050201,6.315358002,0.906321201,2.082748567,-2.047296647,-0.001650165,-0.003378378,-0.066666667,-0.001808318,-0.404007757,-0.124587305
wsc,0.991255786,0.04,0.094083,17931,1687,16,13016,0.0892,8.734,-2.363577908,9.794286337,7.430707083,2.772588722,9.473934649,-2.416874239,2.167223455,-10.62891277,-5.58E-05,-0.000592768,-0.0625,-7.68E-05,-11.21076233,-0.114495077
obd-java-api,0.828901093,0.04,0.434673,796,346,42,1111,5.2764,21.6515,-0.833161255,6.679599186,5.846438775,3.737669618,7.01301579,1.663244047,3.075074736,-2.300579976,-0.001256281,-0.002890173,-0.023809524,-0.00090009,-0.18952316,-0.046186176
sonar-objective-c,0.887142713,0.04,0.256795,1067,274,31,1441,2.9053,15.8385,-1.359477178,6.972606251,5.613128106,3.433987204,7.273092596,1.066536655,2.762443685,-3.894156818,-0.000937207,-0.003649635,-0.032258065,-0.000693963,-0.344198534,-0.063137292
spring-retry,0.958691914,0.04,0.611063,2296,1403,185,2716,8.0575,93.7915,-0.492555215,7.738923757,7.24636808,5.220355825,7.906915489,2.086603335,4.541074234,-1.636492473,-0.00043554,-0.000712758,-0.005405405,-0.000368189,-0.124107974,-0.010661947
jprotobuf,0.964010516,0.04,0.337189,4496,1516,49,3015,1.0899,24.2015,-1.087111675,8.410943392,7.323830566,3.891820298,8.011355109,0.086085949,3.186414615,-2.965695797,-0.00022242,-0.000659631,-0.020408163,-0.000331675,-0.917515368,-0.041319753
jmxutils,0.967613975,0.04,0.564184,1893,1068,754,2284,39.831,371.9145,-0.57237484,7.545918151,6.97354302,6.625392368,7.733683571,3.684645504,5.918663989,-1.772471392,-0.000528262,-0.00093633,-0.00132626,-0.000437828,-0.025106073,-0.00268879
JActor,0.647835691,0.04,0.095861,1377,132,60,2413,4.3573,30.081,-2.344856053,7.227662499,4.882801923,4.094344562,7.788626066,1.471852599,3.403893743,-10.431771,-0.000726216,-0.007575758,-0.016666667,-0.000414422,-0.22949992,-0.033243576
brickhouse,0.933758468,0.04,0.049623,9411,467,30,8831,0.3188,15.0455,-3.003300843,9.149634497,6.146329258,3.401197382,9.086023537,-1.143191332,2.711078943,-20.15194567,-0.000106259,-0.002141328,-0.033333333,-0.000113237,-3.136762861,-0.066465056
JavaVerbalExpressions,0.849793843,0.04,0.786967,399,314,69,326,17.2932,34.9025,-0.239568963,5.988961417,5.749392986,4.234106505,5.786897381,2.850313361,3.55255846,-1.270701313,-0.002506266,-0.003184713,-0.014492754,-0.003067485,-0.057826198,-0.028651243
metrics-statsd,0.879869639,0.04,0.757353,408,309,11,310,2.6961,5.971,-0.27792582,6.011267174,5.733341277,2.397895273,5.736572297,0.991806284,1.786914418,-1.320388247,-0.00245098,-0.003236246,-0.090909091,-0.003225806,-0.370906124,-0.167476135
rtree,0.956373572,0.04,0.737774,2147,1584,199,1806,9.2687,99.986,-0.304117734,7.671826798,7.367708572,5.293304825,7.498869734,2.226643132,4.605030176,-1.355428627,-0.000465766,-0.000631313,-0.005025126,-0.00055371,-0.107889995,-0.0100014
java-uuid-generator,0.934203166,0.04,0.394311,2039,804,45,1764,2.207,23.0425,-0.930615341,7.620214771,6.689599269,3.80666249,7.475339237,0.791634127,3.137340337,-2.536069245,-0.000490436,-0.001243781,-0.022222222,-0.000566893,-0.453103761,-0.043398069
WorldGuard,0.910072314,0.04,0.043556,25875,1127,148,21845,0.572,73.701,-3.133707812,10.16103253,7.027314514,4.997212274,9.991727341,-0.558616288,4.300016368,-22.9589494,-3.86E-05,-0.000887311,-0.006756757,-4.58E-05,-1.748251748,-0.013568337
gson-fire,0.896396181,0.04,0.688742,755,520,36,895,4.7682,18.2885,-0.372888534,6.626717749,6.253828812,3.583518938,6.796823718,1.561968875,2.906272447,-1.451922491,-0.001324503,-0.001923077,-0.027777778,-0.001117318,-0.209722747,-0.05467917
pusher-websocket-java,0.939751302,0.04,0.578912,1470,851,204,1634,13.8776,104.7515,-0.546604799,7.29301768,6.746412129,5.318119994,7.398786275,2.630276029,4.651590879,-1.727378254,-0.000680272,-0.001175088,-0.004901961,-0.000611995,-0.072058569,-0.009546403
DiskLruCache,0.887165963,0.04,0.575499,1053,606,61,780,5.793,31.147,-0.552517788,6.959398512,6.406879986,4.110873864,6.65929392,1.756650292,3.438717932,-1.737622481,-0.000949668,-0.001650165,-0.016393443,-0.001282051,-0.17262213,-0.032105821
jackson-dataformat-csv,0.95728099,0.04,0.317734,6795,2159,100,5242,1.4717,50.492,-1.146540724,8.823942327,7.677400431,4.605170186,8.564458384,0.386418195,3.921814908,-3.147286724,-0.000147167,-0.000463177,-0.01,-0.000190767,-0.679486308,-0.019805118
scrypt,0.97935262,0.04,0.837418,1224,1025,22,467,1.7974,11.3395,-0.177431931,7.109879463,6.932447892,3.091042453,6.146329258,0.586341176,2.428292206,-1.19414677,-0.000816993,-0.00097561,-0.045454545,-0.002141328,-0.556359185,-0.08818731
redline-smalltalk,0.997612242,0.04,0.170641,10736,1832,43,5648,0.4005,21.8675,-1.768193345,9.281357859,7.513163545,3.761200116,8.639056779,-0.915041512,3.085001516,-5.860256328,-9.31E-05,-0.000545852,-0.023255814,-0.000177054,-2.496878901,-0.045729965
clj-ds,0.979590751,0.04,0.069744,26626,1857,19,15521,0.0714,9.9205,-2.662923883,10.18964346,7.526717561,2.944438979,9.649949225,-2.63945741,2.294603323,-14.33815095,-3.76E-05,-0.000538503,-0.052631579,-6.44E-05,-14.00560224,-0.100801371
Liqp,0.98948592,0.04,0.454164,17410,7907,234,1876,1.3441,116.8145,-0.789296913,9.764800033,8.975503722,5.455321115,7.53689713,0.295724644,4.760587207,-2.201847791,-5.74E-05,-0.00012647,-0.004273504,-0.000533049,-0.743992262,-0.008560581
la4j,0.991610417,0.04,0.549357,13372,7346,758,9096,5.6686,376.073,-0.599006776,9.500918248,8.901911226,6.630683386,9.115590035,1.734942174,5.929783273,-1.820309926,-7.48E-05,-0.000136129,-0.001319261,-0.000109938,-0.176410401,-0.002659058
wsdoc,0.986216377,0.04,0.639653,2073,1326,47,1598,2.2672,24.2215,-0.446829437,7.636752112,7.189922171,3.850147602,7.376508126,0.81854559,3.187240668,-1.563347628,-0.000482393,-0.000754148,-0.021276596,-0.000625782,-0.441072689,-0.041285635
spring-data-commons,0.991877348,0.04,0.613786,13666,8388,1035,14722,7.5735,522.32,-0.488108946,9.522666275,9.034557392,6.942156706,9.597098253,2.024655312,6.258280427,-1.629232338,-7.32E-05,-0.000119218,-0.000966184,-6.79E-05,-0.132039348,-0.001914535
DotCi,0.976686625,0.04,0.220227,9245,2036,221,10038,2.3905,112.0265,-1.513096446,9.131838144,7.618742378,5.398162702,9.21413317,0.871502549,4.71873545,-4.540769297,-0.000108167,-0.000491159,-0.004524887,-9.96E-05,-0.418322527,-0.008926459
